strain	contrast	test_condition	ref_condition	orthofinder_orthogroup	OG_gene_symbol	logFC	logCPM	F	PValue	FDR	is_DEG	DEG_direction	member_gene_count_in_strain	n_member_genes_all_strains	n_member_strains	representative_prefixed_id	representative_gene_id	representative_strain	representative_name	representative_product	representative_Preferred_name	representative_selection_basis	representative_match_score	ko_terms	ko_names	pathway_ids	pathway_names	go_terms	cog_categories	cog_category_names	Halomonas_members	Psychrobacter_members	Aequorivita_members	Sphingopyxis_members	Halomonas_count	Psychrobacter_count	Aequorivita_count	Sphingopyxis_count	member_gene_symbols	member_products	representative_emapper_score	representative_kofam_score
Halomonas	D55_vs_D0	D55	D0	OG0000317	gene3122	2.20598029349445	1.75817141023418	13.7902686784827	0.0016525182585301	0.0034837994984862	True	up	1	5	4	Aequorivita__gene3122	gene3122	Aequorivita		IS3 family transposase		best_matched_member_gene_id	587.0	K07497	K07497;putative transposase				L	L: Replication;recombination and repair	Halomonas__gene3690	Psychrobacter__gene0438;Psychrobacter__gene2139	Aequorivita__gene3122	Sphingopyxis__gene3031	1	2	1	1		IS3 family transposase;transposase	587.0	180.9
Halomonas	D55_vs_D0	D55	D0	OG0000318	gluP	1.37882184551628	7.87039662687347	143.911625793113	1.5804971709974302e-09	2.02207118976465e-08	True	up	1	5	4	Psychrobacter__gene0316	gene0316	Psychrobacter	gluP	rhomboid family intramembrane serine protease		gene_name	504.0	K02441;K07059	glpG;rhomboid protease GlpG [EC:3.4.21.105];rho2;rhomboid family protease [EC:3.4.21.105]				S	S: Function unknown	Halomonas__gene2687	Psychrobacter__gene0316	Aequorivita__gene0685;Aequorivita__gene0686	Sphingopyxis__gene0109	1	1	2	1	glpG;gluP	MULTISPECIES: rhomboid family intramembrane serine protease;rhomboid family intramembrane serine protease	504.0	161.7
Halomonas	D55_vs_D0	D55	D0	OG0000320	bkdA	-2.22792020810433	7.8495244806813	58.8683029518896	8.19629060226136e-07	4.37483536604778e-06	True	down	1	5	3	Aequorivita__gene0071	gene0071	Aequorivita	bkdA	transketolase	pdhB	gene_name	1496.0	K00167;K11381	BCKDHB;bkdA2;2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4];bkdA;2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	map00280;map00640;map00785;map01100;map01110;map01210	2-Oxocarboxylic acid metabolism;Biosynthesis of secondary metabolites;Lipoic acid metabolism;Metabolic pathways;Propanoate metabolism;Valine;leucine and isoleucine degradation		C	C: Energy production and conversion	Halomonas__gene2425		Aequorivita__gene0071;Aequorivita__gene1101;Aequorivita__gene1881	Sphingopyxis__gene4004	1	0	3	1	bkdA2;bkdA	MULTISPECIES: transketolase C-terminal domain-containing protein;transketolase;dehydrogenase;tungsten formylmethanofuran dehydrogenase;branched-chain alpha-keto acid dehydrogenase E1 component	1496.0	528.3
Halomonas	D55_vs_D0	D55	D0	OG0000321	gapA	2.6133045260559	10.4099790216246	484.759617071957	1.35538174779932e-13	1.41976238081979e-11	True	up	2	5	4	Psychrobacter__gene0370	gene0370	Psychrobacter	gapA	MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase	gap	gene_name	696.0	K00134;K03472	GAPDH;gapA;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12];epd;D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]	map00010;map00710;map01100;map01110;map01120;map01200;map01230;map04066;map05010;map05130;map05132;map05415;map00750;map01240	Alzheimer disease;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Carbon fixation by Calvin cycle;Carbon metabolism;Diabetic cardiomyopathy;Glycolysis / Gluconeogenesis;HIF-1 signaling pathway;Metabolic pathways;Microbial metabolism in diverse environments;Pathogenic Escherichia coli infection;Salmonella infection;Biosynthesis of cofactors;Vitamin B6 metabolism	GO:0000166;GO:0003674;GO:0003824;GO:0004365;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005975;GO:0005996;GO:0006006;GO:0006082;GO:0006090;GO:0006091;GO:0006096;GO:0006139;GO:0006163;GO:0006164;GO:0006165;GO:0006725;GO:0006732;GO:0006733;GO:0006753;GO:0006754;GO:0006757;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009058;GO:0009108;GO:0009117;GO:0009123;GO:0009124;GO:0009126;GO:0009127;GO:0009132;GO:0009135;GO:0009141;GO:0009142;GO:0009144;GO:0009145;GO:0009150;GO:0009152;GO:0009156;GO:0009161;GO:0009165;GO:0009166;GO:0009167;GO:0009168;GO:0009179;GO:0009185;GO:0009199;GO:0009201;GO:0009205;GO:0009206;GO:0009259;GO:0009260;GO:0009987;GO:0016052;GO:0016053;GO:0016310;GO:0016491;GO:0016620;GO:0016903;GO:0017144;GO:0018130;GO:0019318;GO:0019359;GO:0019362;GO:0019363;GO:0019438;GO:0019439;GO:0019637;GO:0019693;GO:0019752;GO:0032787;GO:0034404;GO:0034641;GO:0034654;GO:0034655;GO:0036094;GO:0042866;GO:0043436;GO:0043891;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044270;GO:0044271;GO:0044281;GO:0044283;GO:0044424;GO:0044464;GO:0046031;GO:0046034;GO:0046390;GO:0046394;GO:0046434;GO:0046483;GO:0046496;GO:0046700;GO:0046939;GO:0048037;GO:0050661;GO:0050662;GO:0051186;GO:0051188;GO:0051287;GO:0055086;GO:0055114;GO:0071704;GO:0072330;GO:0072521;GO:0072522;GO:0072524	G	G: Carbohydrate transport and metabolism	Halomonas__gene2296;Halomonas__gene3109	Psychrobacter__gene0370	Aequorivita__gene0131	Sphingopyxis__gene4017	2	1	1	1	gapA;epd	MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase;glyceraldehyde 3-phosphate dehydrogenase NAD-binding domain-containing protein;type I glyceraldehyde-3-phosphate dehydrogenase	696.0	346.1
Halomonas	D55_vs_D0	D55	D0	OG0000329	ftsH	2.60817118900882	12.6394273478143	590.255850399256	2.82990321918855e-14	7.887510902256099e-12	True	up	1	5	4	Halomonas__gene2556	gene2556	Halomonas	ftsH	ATP-dependent zinc metalloprotease FtsH	ftsH	gene_name	1227.0	K03798	ftsH;hflB;cell division protease FtsH [EC:3.4.24.-]			GO:0000166;GO:0003674;GO:0003824;GO:0004175;GO:0004176;GO:0004222;GO:0005488;GO:0005524;GO:0005575;GO:0005623;GO:0005886;GO:0005887;GO:0006508;GO:0006807;GO:0008144;GO:0008150;GO:0008152;GO:0008233;GO:0008237;GO:0008270;GO:0009056;GO:0009057;GO:0016020;GO:0016021;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0019538;GO:0030145;GO:0030163;GO:0030554;GO:0031224;GO:0031226;GO:0032553;GO:0032555;GO:0032559;GO:0032991;GO:0035639;GO:0036094;GO:0042623;GO:0043167;GO:0043168;GO:0043169;GO:0043170;GO:0043273;GO:0044238;GO:0044425;GO:0044459;GO:0044464;GO:0046872;GO:0046914;GO:0070011;GO:0071704;GO:0071944;GO:0097159;GO:0097367;GO:0098796;GO:0140096;GO:1901265;GO:1901363;GO:1901564;GO:1901565;GO:1901575	O	O: Posttranslational modification;protein turnover;chaperones	Halomonas__gene2556	Psychrobacter__gene0179	Aequorivita__gene0125;Aequorivita__gene0562	Sphingopyxis__gene2329	1	1	2	1	ftsH	ATP-dependent zinc metalloprotease FtsH;MULTISPECIES: ATP-dependent zinc metalloprotease FtsH;ATP-binding protein;peptidase M41	1227.0	952.9
Halomonas	D55_vs_D0	D55	D0	OG0000330	comM	-2.80446200065028	7.37834057828282	113.884477826548	8.7561040788278e-09	8.53211071867174e-08	True	down	2	5	4	Aequorivita__gene0128	gene0128	Aequorivita	comM	magnesium chelatase	comM	gene_name	955.0	K07391	comM;magnesium chelatase family protein			GO:0000166;GO:0003674;GO:0003676;GO:0003677;GO:0003824;GO:0004176;GO:0005488;GO:0005524;GO:0006139;GO:0006259;GO:0006260;GO:0006261;GO:0006270;GO:0006508;GO:0006725;GO:0006807;GO:0007154;GO:0008144;GO:0008150;GO:0008152;GO:0008233;GO:0009058;GO:0009059;GO:0009292;GO:0009294;GO:0009605;GO:0009987;GO:0009991;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017076;GO:0017111;GO:0019538;GO:0030420;GO:0030554;GO:0031668;GO:0032553;GO:0032555;GO:0032559;GO:0034641;GO:0034645;GO:0035639;GO:0036094;GO:0042623;GO:0043167;GO:0043168;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044764;GO:0046483;GO:0050896;GO:0051704;GO:0051716;GO:0070011;GO:0071496;GO:0071704;GO:0090304;GO:0097159;GO:0097367;GO:0140096;GO:1901265;GO:1901360;GO:1901363;GO:1901564;GO:1901576	O	O: Posttranslational modification;protein turnover;chaperones	Halomonas__gene0947;Halomonas__gene0953	Psychrobacter__gene1966	Aequorivita__gene0128	Sphingopyxis__gene1447	2	1	1	1	comM	hypothetical protein;MULTISPECIES: YifB family Mg chelatase-like AAA ATPase;magnesium chelatase;YifB family Mg chelatase-like AAA ATPase	955.0	721.8
Halomonas	D55_vs_D0	D55	D0	OG0000338	ccoG	1.29001048111721	8.95113462652019	56.4105839412922	1.07953539139918e-06	5.58426332094144e-06	True	up	2	5	4	Psychrobacter__gene0619	gene0619	Psychrobacter		MULTISPECIES: cytochrome c oxidase accessory protein CcoG	ccoG	eggnog_Preferred_name	892.0						C	C: Energy production and conversion	Halomonas__gene1832;Halomonas__gene2637	Psychrobacter__gene0619	Aequorivita__gene0193	Sphingopyxis__gene0221	2	1	1	1		MULTISPECIES: cytochrome c oxidase accessory protein CcoG;cytochrome c oxidase accessory protein CcoG	892.0	76.8
Halomonas	D55_vs_D0	D55	D0	OG0000341	prx	2.19224351418245	12.7931882512498	252.419571199091	2.2503197420898896e-11	6.28589314623777e-10	True	up	2	5	4	Halomonas__gene3237	gene3237	Halomonas	prx	MULTISPECIES: peroxiredoxin		gene_name	422.0	K24158;K03386	prx;thioredoxin-dependent peroxiredoxin [EC:1.11.1.24];PRDX2_4;ahpC;peroxiredoxin 2/4 [EC:1.11.1.24]	map04214	Apoptosis - fly		O	O: Posttranslational modification;protein turnover;chaperones	Halomonas__gene2818;Halomonas__gene3237	Psychrobacter__gene0509	Aequorivita__gene0300	Sphingopyxis__gene3647	2	1	1	1	prx;ahpC	MULTISPECIES: peroxiredoxin;peroxiredoxin	422.0	338.0
Halomonas	D55_vs_D0	D55	D0	OG0000342	pqiB	1.22388401784761	8.86480211239549	66.3603399076975	3.72576681643264e-07	2.23013756583611e-06	True	up	2	5	3	Halomonas__gene2276	gene2276	Halomonas	pqiB	MULTISPECIES: intermembrane transport protein PqiB	pqiB	gene_name	999.0	K06192;K02067	pqiB;letB;intermembrane transport protein PqiB/LetB;mlaD;linM;phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	map02010	ABC transporters		Q	Q: Secondary metabolites biosynthesis;transport and catabolism	Halomonas__gene2276;Halomonas__gene2421		Aequorivita__gene0305	Sphingopyxis__gene1986;Sphingopyxis__gene3770	2	0	1	2	pqiB;mlaD	MULTISPECIES: intermembrane transport protein PqiB;MULTISPECIES: MlaD family protein;ABC transporter permease;MlaD family protein	999.0	588.8
Halomonas	D55_vs_D0	D55	D0	OG0000348	ksgA	1.22057005980439	7.6861318354499	81.9100595822779	8.94892141561743e-08	6.30184550108185e-07	True	up	1	5	4	Psychrobacter__gene2011	gene2011	Psychrobacter	ksgA	MULTISPECIES: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	ksgA	gene_name	538.0	K02528	ksgA;16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]			GO:0000154;GO:0000179;GO:0001510;GO:0003674;GO:0003676;GO:0003723;GO:0003824;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006139;GO:0006364;GO:0006396;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0008168;GO:0008170;GO:0008173;GO:0008649;GO:0008757;GO:0008988;GO:0009451;GO:0009987;GO:0010467;GO:0016070;GO:0016072;GO:0016433;GO:0016740;GO:0016741;GO:0022613;GO:0031167;GO:0032259;GO:0034470;GO:0034641;GO:0034660;GO:0042254;GO:0043170;GO:0043412;GO:0043414;GO:0044085;GO:0044237;GO:0044238;GO:0044260;GO:0044424;GO:0044464;GO:0046483;GO:0052908;GO:0071704;GO:0071840;GO:0090304;GO:0097159;GO:0140098;GO:0140102;GO:1901360;GO:1901363;GO:0000028;GO:0003677;GO:0003690;GO:0003729;GO:0005829;GO:0006996;GO:0016043;GO:0019843;GO:0022607;GO:0022618;GO:0034622;GO:0042221;GO:0042255;GO:0042274;GO:0043933;GO:0044444;GO:0046677;GO:0050896;GO:0065003;GO:0070475;GO:0070925;GO:0071826	J;Q	J: Translation;ribosomal structure and biogenesis;Q: Secondary metabolites biosynthesis;transport and catabolism	Halomonas__gene2782	Psychrobacter__gene2011	Aequorivita__gene0439;Aequorivita__gene1385	Sphingopyxis__gene0763	1	1	2	1	ksgA;mcyA	MULTISPECIES: 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA;class I SAM-dependent methyltransferase;16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase;16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	538.0	337.8
Halomonas	D55_vs_D0	D55	D0	OG0000352	dppB	1.25156281930458	7.93585950365259	64.3407455030583	4.57386976303771e-07	2.66173809821223e-06	True	up	3	5	3	Psychrobacter__gene0364	gene0364	Psychrobacter	dppB	MULTISPECIES: ABC transporter permease subunit	dppB	gene_name	637.0	K02033	ABC.PE.P;peptide/nickel transport system permease protein	map02024	Quorum sensing		P;EP	P: Inorganic ion transport and metabolism;E: Amino acid transport and metabolism	Halomonas__gene0837;Halomonas__gene1123;Halomonas__gene3679	Psychrobacter__gene0364	Aequorivita__gene0542		3	1	1	0	dppB	ABC transporter permease;MULTISPECIES: ABC transporter permease;MULTISPECIES: ABC transporter permease subunit	637.0	461.7
Halomonas	D55_vs_D0	D55	D0	OG0000359	dppA	1.23076320063651	9.87392011713841	42.9123572753757	5.9605441469743e-06	2.51001808802235e-05	True	up	3	5	3	Psychrobacter__gene0365	gene0365	Psychrobacter	dppA	ABC transporter substrate-binding protein	dppA	gene_name	1035.0	K02035;K12368	ABC.PE.S;peptide/nickel transport system substrate-binding protein;dppA;dipeptide transport system substrate-binding protein	map02024;map02010;map02030	Quorum sensing;ABC transporters;Bacterial chemotaxis	GO:0003674;GO:0005488;GO:0005575;GO:0005623;GO:0005886;GO:0006457;GO:0006810;GO:0006857;GO:0006935;GO:0008104;GO:0008150;GO:0009605;GO:0009987;GO:0015031;GO:0015833;GO:0016020;GO:0016021;GO:0020037;GO:0030288;GO:0030313;GO:0031224;GO:0031975;GO:0032991;GO:0033036;GO:0033218;GO:0040011;GO:0042221;GO:0042277;GO:0042330;GO:0042597;GO:0042886;GO:0042938;GO:0043190;GO:0044425;GO:0044459;GO:0044464;GO:0045184;GO:0046906;GO:0048037;GO:0050896;GO:0051179;GO:0051234;GO:0055085;GO:0061077;GO:0071702;GO:0071705;GO:0071944;GO:0097159;GO:0098533;GO:0098796;GO:0098797;GO:1901363;GO:1902494;GO:1902495;GO:1904949;GO:1990351	E	E: Amino acid transport and metabolism	Halomonas__gene0838;Halomonas__gene1122;Halomonas__gene3678	Psychrobacter__gene0365	Aequorivita__gene0743		3	1	1	0	dppA	MULTISPECIES: ABC transporter substrate-binding protein;ABC transporter substrate-binding protein	1035.0	805.5
Halomonas	D55_vs_D0	D55	D0	OG0000362	gene0728	1.12860476444927	5.76315749918587	29.706032045486	4.93205705855125e-05	0.0001545070585071	True	up	3	5	3	Halomonas__gene0728	gene0728	Halomonas		MULTISPECIES: helix-turn-helix domain-containing protein		best_matched_member_gene_id	187.0	K07726	K07726;putative transcriptional regulator				K	K: Transcription	Halomonas__gene0728;Halomonas__gene3364;Halomonas__gene3718	Psychrobacter__gene1706	Aequorivita__gene0774		3	1	1	0		MULTISPECIES: helix-turn-helix domain-containing protein;NadS family protein;MULTISPECIES: NadS family protein;helix-turn-helix transcriptional regulator	187.0	93.3
Halomonas	D55_vs_D0	D55	D0	OG0000365	sodC	1.88239033484486	10.4535297473362	68.6172996472165	2.98054339707225e-07	1.84331761383509e-06	True	up	1	5	4	Psychrobacter__gene0306	gene0306	Psychrobacter		MULTISPECIES: superoxide dismutase family protein	sodC	eggnog_Preferred_name	338.0	K04565	SOD1;superoxide dismutase;Cu-Zn family [EC:1.15.1.1]	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	Amyotrophic lateral sclerosis;Chemical carcinogenesis - reactive oxygen species;Huntington disease;Longevity regulating pathway - multiple species;Parkinson disease;Pathways of neurodegeneration - multiple diseases;Peroxisome;Prion disease		P	P: Inorganic ion transport and metabolism	Halomonas__gene0429	Psychrobacter__gene0306	Aequorivita__gene0859	Sphingopyxis__gene0880;Sphingopyxis__gene1375	1	1	1	2		MULTISPECIES: superoxide dismutase family protein;superoxide dismutase;Superoxide dismutase;superoxide dismutase family protein	338.0	147.5
Halomonas	D55_vs_D0	D55	D0	OG0000367	fumC	2.74847641507947	10.0569018316809	180.779541195235	2.8756024168473103e-10	4.9322696422246e-09	True	up	1	5	4	Psychrobacter__gene0312	gene0312	Psychrobacter	fumC	class II fumarate hydratase	fumC	gene_name	890.0	K01679;K01744	E4.2.1.2B;fumC;FH;fumarate hydratase;class II [EC:4.2.1.2];aspA;aspartate ammonia-lyase [EC:4.3.1.1]	map00020;map00620;map00720;map01100;map01110;map01120;map01200;map04934;map05200;map05211;map00250	Biosynthesis of secondary metabolites;Carbon metabolism;Citrate cycle (TCA cycle);Cushing syndrome;Metabolic pathways;Microbial metabolism in diverse environments;Other carbon fixation pathways;Pathways in cancer;Pyruvate metabolism;Renal cell carcinoma;Alanine;aspartate and glutamate metabolism	GO:0003674;GO:0003824;GO:0004333;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006082;GO:0006091;GO:0006099;GO:0006101;GO:0006106;GO:0006108;GO:0006950;GO:0006979;GO:0008150;GO:0008152;GO:0009060;GO:0009987;GO:0015980;GO:0016829;GO:0016835;GO:0016836;GO:0016999;GO:0017144;GO:0019752;GO:0032991;GO:0043436;GO:0043648;GO:0044237;GO:0044238;GO:0044281;GO:0044424;GO:0044444;GO:0044464;GO:0045239;GO:0045333;GO:0050896;GO:0055114;GO:0071704;GO:0072350	C;E	C: Energy production and conversion;E: Amino acid transport and metabolism	Halomonas__gene2231	Psychrobacter__gene0312;Psychrobacter__gene0406	Aequorivita__gene0910	Sphingopyxis__gene0282	1	2	1	1	fumC;aspA	class II fumarate hydratase;aspartate ammonia-lyase;fumarate hydratase;class II	890.0	844.9
Halomonas	D55_vs_D0	D55	D0	OG0000368	hydA	1.66958468880761	8.26158211835902	84.6870331263851	7.10597593164136e-08	5.22351564097848e-07	True	up	1	5	4	Halomonas__gene1675	gene1675	Halomonas	hydA	MULTISPECIES: dihydropyrimidinase		gene_name	974.0	K01464;K01465	DPYS;dht;hydA;dihydropyrimidinase [EC:3.5.2.2];URA4;pyrC;dihydroorotase [EC:3.5.2.3]	map00240;map00410;map00770;map00983;map01100;map01240	Drug metabolism - other enzymes;Metabolic pathways;Pantothenate and CoA biosynthesis;Pyrimidine metabolism;beta-Alanine metabolism;Biosynthesis of cofactors	GO:0003674;GO:0003824;GO:0004151;GO:0005488;GO:0006139;GO:0006220;GO:0006221;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009117;GO:0009165;GO:0009987;GO:0016787;GO:0016810;GO:0016812;GO:0018130;GO:0019438;GO:0019637;GO:0034641;GO:0034654;GO:0043167;GO:0043169;GO:0044237;GO:0044238;GO:0044249;GO:0044271;GO:0044281;GO:0046483;GO:0046872;GO:0055086;GO:0071704;GO:0072527;GO:0072528;GO:0090407;GO:1901293;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576	F	F: Nucleotide transport and metabolism	Halomonas__gene1675	Psychrobacter__gene2513	Aequorivita__gene0946;Aequorivita__gene2285	Sphingopyxis__gene2534	1	1	2	1	hydA;pyrC	MULTISPECIES: dihydropyrimidinase;dihydroorotase	974.0	753.7
Halomonas	D55_vs_D0	D55	D0	OG0000370	ppk	-2.51171500000562	9.50766010312988	335.835653663203	2.44631477400754e-12	1.24243138219292e-10	True	down	1	5	4	Psychrobacter__gene0321	gene0321	Psychrobacter		polyphosphate kinase 1	ppk	eggnog_Preferred_name	1381.0	K00937	ppk1;polyphosphate kinase [EC:2.7.4.1]	map00190;map03018	Oxidative phosphorylation;RNA degradation	GO:0000166;GO:0003674;GO:0003824;GO:0005488;GO:0005524;GO:0005575;GO:0005623;GO:0006082;GO:0006793;GO:0006796;GO:0006797;GO:0006799;GO:0008144;GO:0008150;GO:0008152;GO:0008976;GO:0009058;GO:0009358;GO:0009987;GO:0016301;GO:0016310;GO:0016740;GO:0016772;GO:0016776;GO:0017076;GO:0030554;GO:0032553;GO:0032555;GO:0032559;GO:0032991;GO:0035639;GO:0036094;GO:0043167;GO:0043168;GO:0043169;GO:0043436;GO:0044237;GO:0044249;GO:0044281;GO:0044464;GO:0046872;GO:0061695;GO:0071704;GO:0097159;GO:0097367;GO:1901265;GO:1901363;GO:1901576;GO:1902494;GO:1990234	H;P	H: Coenzyme transport and metabolism;P: Inorganic ion transport and metabolism	Halomonas__gene1189	Psychrobacter__gene0321	Aequorivita__gene0977;Aequorivita__gene1906	Sphingopyxis__gene0750	1	1	2	1		polyphosphate kinase 1;RNA degradosome polyphosphate kinase	1381.0	951.2
Halomonas	D55_vs_D0	D55	D0	OG0000371	ppx-gppA	-1.15219188220838	7.479360974926	64.4807038573572	4.5092821575053e-07	2.63329508570693e-06	True	down	1	5	4	Psychrobacter__gene1749	gene1749	Psychrobacter	ppx-gppA	exopolyphosphatase	gppA	gene_name	938.0	K01524	ppx-gppA;exopolyphosphatase / guanosine-5'-triphosphate;3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	map00230;map01100	Metabolic pathways;Purine metabolism	GO:0003674;GO:0003824;GO:0004309;GO:0005488;GO:0005515;GO:0005575;GO:0005623;GO:0005886;GO:0006082;GO:0006139;GO:0006152;GO:0006163;GO:0006164;GO:0006195;GO:0006725;GO:0006753;GO:0006793;GO:0006796;GO:0006797;GO:0006798;GO:0006807;GO:0006950;GO:0007154;GO:0008150;GO:0008152;GO:0008894;GO:0009056;GO:0009058;GO:0009116;GO:0009117;GO:0009119;GO:0009150;GO:0009152;GO:0009154;GO:0009163;GO:0009164;GO:0009165;GO:0009166;GO:0009259;GO:0009260;GO:0009261;GO:0009267;GO:0009605;GO:0009987;GO:0009991;GO:0015949;GO:0015969;GO:0015970;GO:0015972;GO:0015974;GO:0016020;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0018130;GO:0019438;GO:0019439;GO:0019637;GO:0019693;GO:0031667;GO:0031668;GO:0031669;GO:0033554;GO:0033865;GO:0033866;GO:0033869;GO:0033875;GO:0034030;GO:0034031;GO:0034032;GO:0034033;GO:0034034;GO:0034035;GO:0034036;GO:0034037;GO:0034404;GO:0034641;GO:0034654;GO:0034655;GO:0034656;GO:0042278;GO:0042451;GO:0042454;GO:0042455;GO:0042594;GO:0042802;GO:0043436;GO:0044237;GO:0044238;GO:0044248;GO:0044249;GO:0044270;GO:0044271;GO:0044281;GO:0044282;GO:0044283;GO:0044464;GO:0046128;GO:0046129;GO:0046130;GO:0046390;GO:0046434;GO:0046483;GO:0046700;GO:0050896;GO:0051716;GO:0055086;GO:0071496;GO:0071704;GO:0071944;GO:0072521;GO:0072522;GO:0072523;GO:0090407;GO:1901068;GO:1901069;GO:1901070;GO:1901135;GO:1901136	FP	F: Nucleotide transport and metabolism;P: Inorganic ion transport and metabolism	Halomonas__gene0455	Psychrobacter__gene1749	Aequorivita__gene0978	Sphingopyxis__gene0749;Sphingopyxis__gene0989	1	1	1	2	ppx-gppA	exopolyphosphatase;Ppx/GppA family phosphatase;Ppx/GppA phosphatase family protein	938.0	309.6
Halomonas	D55_vs_D0	D55	D0	OG0000373	glsA	-1.49915146043035	6.00034033069822	40.3547364797239	8.62642653391218e-06	3.42604049071962e-05	True	down	1	5	4	Halomonas__gene3569	gene3569	Halomonas	glsA	glutaminase	glsA	gene_name	589.0	K01425	glsA;GLS;glutaminase [EC:3.5.1.2]	map00220;map00250;map00470;map01100;map01110;map02020;map04724;map04727;map04964;map05206;map05230	Alanine;aspartate and glutamate metabolism;Arginine biosynthesis;Biosynthesis of secondary metabolites;Central carbon metabolism in cancer;D-Amino acid metabolism;GABAergic synapse;Glutamatergic synapse;Metabolic pathways;MicroRNAs in cancer;Proximal tubule bicarbonate reclamation;Two-component system	GO:0003674;GO:0003824;GO:0004359;GO:0006082;GO:0006520;GO:0006541;GO:0006807;GO:0008150;GO:0008152;GO:0009064;GO:0009987;GO:0016787;GO:0016810;GO:0016811;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044281;GO:0071704;GO:1901564;GO:1901605;GO:0006536;GO:0006537;GO:0006543;GO:0008652;GO:0009056;GO:0009058;GO:0009063;GO:0009065;GO:0009084;GO:0016053;GO:0016054;GO:0040008;GO:0043648;GO:0043650;GO:0044248;GO:0044249;GO:0044282;GO:0044283;GO:0045926;GO:0046394;GO:0046395;GO:0048519;GO:0050789;GO:0065007;GO:1901565;GO:1901566;GO:1901575;GO:1901576;GO:1901606;GO:1901607	E	E: Amino acid transport and metabolism	Halomonas__gene3569	Psychrobacter__gene0595;Psychrobacter__gene0596	Aequorivita__gene0995	Sphingopyxis__gene1412	1	2	1	1	glsA	glutaminase	589.0	402.3
Halomonas	D55_vs_D0	D55	D0	OG0000376	gene1121	1.17163958213963	8.9260965834101	13.9533317890487	0.0017413903142347	0.0036345830219892	True	up	1	5	3	Aequorivita__gene1121	gene1121	Aequorivita		hypothetical protein		best_matched_member_gene_id	1035.0						NU;S;T;K	N: Cell motility;U: Intracellular trafficking;secretion;and vesicular transport;S: Function unknown;T: Signal transduction mechanisms;K: Transcription	Halomonas__gene1771	Psychrobacter__gene1032	Aequorivita__gene1121;Aequorivita__gene2113;Aequorivita__gene2114		1	1	3	0		hypothetical protein	1035.0	43.4
